t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
9792,8609,1,9517,9598,6096,9556,9033,1,2
9792,8609,1,9522,9598,6099,9556,9033,1,2
9792,8609,1,9527,9598,6103,9556,9033,1,2
9792,8609,1,9530,9598,6105,9556,9033,1,2
9792,8609,1,9530,9598,6110,9556,9033,1,2
9792,8609,1,9535,9598,6113,9556,9033,1,2
9792,8609,1,9536,9599,6116,9556,9033,1,2
9792,8609,1,9536,9599,6117,9556,9033,1,2
9792,8609,1,9537,9599,6122,9557,9033,1,2
9792,8609,1,9539,9599,6123,9557,9033,1,2
9792,8609,1,9541,9599,6128,9557,9033,1,2
9792,8609,1,9542,9599,6131,9558,9033,1,2
9792,8609,1,9542,9600,6131,9558,9033,1,2
9792,8609,1,9546,9600,6132,9558,9033,1,2
9792,8609,1,9547,9600,6132,9558,9033,1,2
9792,8609,1,9547,9600,6135,9558,9033,1,2
9792,8609,1,9551,9600,6137,9558,9033,1,2
9792,8609,1,9553,9600,6140,9558,9033,1,2
9792,8609,1,9553,9601,6141,9558,9033,1,2
9792,8609,1,9553,9601,6142,9558,9033,1,2
9792,8609,1,9554,9601,6143,9558,9033,1,2
9792,8609,1,9554,9601,6145,9558,9033,1,2
9792,8609,1,9556,9601,6148,9558,9033,1,2
9792,8609,1,9556,9601,6149,9558,9033,1,2
9792,8609,1,9557,9601,6149,9558,9033,1,2
9792,8609,1,9557,9601,6152,9558,9033,1,2
9792,8609,1,9558,9601,6152,9558,9033,1,2
9792,8609,1,9558,9601,6153,9558,9033,1,2
9792,8609,1,9558,9601,6155,9558,9033,1,2
9792,8609,1,9559,9602,6156,9558,9033,1,2
9792,8609,1,9561,9602,6158,9558,9033,1,2
9792,8609,1,9561,9602,6158,9558,9033,1,2
9792,8609,1,9562,9602,6159,9558,9033,1,2
9792,8609,1,9563,9602,6160,9558,9033,1,2
9792,8609,1,9565,9602,6164,9558,9033,1,2
9792,8609,1,9566,9602,6168,9558,9033,1,2
9792,8609,1,9567,9602,6168,9558,9033,1,2
9792,8609,1,9568,9602,6169,9558,9033,1,2
9792,8609,1,9568,9602,6174,9558,9033,1,2
9792,8609,1,9569,9602,6177,9558,9033,1,2
9792,8609,1,9570,9602,6180,9558,9033,1,2
9792,8609,1,9573,9602,6180,9558,9033,1,2
9792,8609,1,9574,9602,6185,9558,9033,1,2
9792,8609,1,9575,9602,6185,9558,9033,1,2
9792,8609,1,9575,9602,6185,9558,9033,1,2
9792,8609,1,9575,9602,6186,9558,9033,1,2
9792,8609,1,9575,9602,6186,9558,9033,1,2
9792,8609,1,9576,9602,6186,9558,9033,1,2
